"","date","adType","category","placement","keywords","body","ageMean","clickThroughRate","clickPerDollar"
"31","3/26/2013","Photo Post","Cosmetics","mobile","#Abercrombie & Fitch","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0344325643324345,215.203527077716
"32","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0310688933060872,194.180583163045
"33","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0312173626137622,195.108516336014
"34","3/26/2013","Photo Post","General","desktopfeed","#Lululemon Athletica","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0214249194644411,133.905746652757
"35","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0389850794761847,243.656746726154
"36","3/26/2013","Photo Post","High End","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0296637139089858,185.398211931161
"37","3/26/2013","Photo Post","Retailer","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0296458400690391,185.286500431494
"38","3/26/2013","Photo Post","Department","mobile","#Shopping","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0272782193617726,170.488871011079
"39","3/26/2013","Photo Post","Department","mobile","#Shopping","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0262723644236029,164.202277647518
"40","3/26/2013","Photo Post","Department","mobile","#Shopping","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0254453100477302,159.033187798314
"41","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0234284535310313,146.427834568946
"42","3/26/2013","Photo Post","Department","desktopfeed","#Shopping","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0164836106453831,103.022566533645
"43","3/26/2013","Photo Post","Department","mobile","#Shopping","Check out a sneak peak of what's new in our stores!",52,0.0348615778895054,217.884861809409
"44","3/26/2013","Photo Post","Department","mobile","#Shopping","Check out a sneak peak of what's new in our stores!",52,0.0315030852394235,196.894282746397
"45","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Check out a sneak peak of what's new in our stores!",52,0.0320984415945453,200.615259965908
"46","3/26/2013","Photo Post","Retailer","desktopfeed","#Lululemon Athletica","Check out a sneak peak of what's new in our stores!",27,0.018344978319157,114.656114494731
"47","3/26/2013","Photo Post","General","mobile","#Lululemon Athletica","Check out a sneak peak of what's new in our stores!",27,0.0182398833722307,113.999271076442
"48","3/26/2013","Photo Post","Retailer","mobile","#Lululemon Athletica","Check out a sneak peak of what's new in our stores!",27,0.0205068761762991,128.16797610187
"49","3/26/2013","Photo Post","eCom","mobile","#Lucky Brand Jeans","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0250728532395143,156.705332746965
"50","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.026209483640843,163.809272755269
"51","3/26/2013","Photo Post","High End","desktopfeed","#Lucky Brand Jeans","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0199466682892497,124.666676807811
"52","3/26/2013","Photo Post","Retailer","desktopfeed","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,0.0295927764030465,184.954852519041
"53","3/26/2013","Photo Post","High End","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,0.0297760168336385,186.10010521024
"54","3/26/2013","Photo Post","High End","mobile","#American Eagle Outfitters","Click """"Like"""" to become a fan of Retail Store X!",27,0.0237546988415877,148.466867759923
"55","3/26/2013","Photo Post","eCom","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0271377223922146,169.610764951341
"56","3/26/2013","Photo Post","Retailer","desktopfeed","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0295538652902182,184.711658063863
"57","3/26/2013","Photo Post","eCom","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0299676093026138,187.297558141336
"58","3/26/2013","Photo Post","Cosmetics","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",34.5,0.0328923250717841,205.577031698651
"59","3/26/2013","Photo Post","Cosmetics","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",34.5,0.0346456151030362,216.535094393976
"60","3/26/2013","Photo Post","Cosmetics","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",34.5,0.031384118669322,196.150741683262
"61","3/26/2013","Photo Post","Cosmetics","mobile","#Abercrombie & Fitch","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0301215613661918,188.259758538699
"62","3/26/2013","Photo Post","Cosmetics","desktopfeed","#Lucky Brand Jeans","Check out a sneak peak of what's new in our stores!",44.5,0.028341845178414,177.136532365087
"63","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Check out a sneak peak of what's new in our stores!",44.5,0.0299623913244326,187.264945777704
"64","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Check out a sneak peak of what's new in our stores!",44.5,0.0277470759369459,173.419224605912
"65","3/26/2013","Photo Post","General","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0257929205457362,161.205753410851
"66","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0314526533423274,196.579083389546
"67","3/26/2013","Photo Post","High End","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0219353078293691,137.095673933557
"68","3/26/2013","Photo Post","Retailer","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0339372834450194,212.108021531371
"69","3/26/2013","Photo Post","Department","mobile","#American Eagle Outfitters","Click """"Like"""" to see what's new in our stores for Spring!!",44.5,0.0317665858969866,198.541161856166
"70","3/26/2013","Photo Post","Department","mobile","#American Eagle Outfitters","Click """"Like"""" to see what's new in our stores for Spring!!",44.5,0.0316343979670378,197.714987293986
"71","3/26/2013","Photo Post","Department","desktopfeed","#American Eagle Outfitters","Click """"Like"""" to see what's new in our stores for Spring!!",44.5,0.0258490998421771,161.556874013607
"72","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Click """"Like"""" to see what's new in our stores for Spring!!",44.5,0.0321984971758123,201.240607348827
"73","3/26/2013","Photo Post","Department","mobile","#Shopping","Click """"Like"""" to see what's new in our stores for Spring!!",44.5,0.0300870233560802,188.043895975501
"74","3/26/2013","Photo Post","Department","mobile","#Shopping","Click """"Like"""" to see what's new in our stores for Spring!!",44.5,0.0312220931712156,195.138082320098
"75","3/26/2013","Photo Post","Department","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0257366524643006,160.854077901879
"76","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0290572404441312,181.60775277582
"77","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0264159194441345,165.099496525841
"78","3/26/2013","Photo Post","General","mobile","#Lululemon Athletica","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0238256132997127,148.910083123204
"79","3/26/2013","Photo Post","Retailer","desktopfeed","#Lululemon Athletica","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0185673626116792,116.046016322995
"80","3/26/2013","Photo Post","eCom","desktopfeed","#Lululemon Athletica","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0173090193611125,108.181371006953
"81","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0219087720275526,136.929825172204
"82","3/26/2013","Photo Post","High End","desktopfeed","#Lucky Brand Jeans","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0185904900472476,116.190562795298
"83","3/26/2013","Photo Post","Retailer","desktopfeed","#Lucky Brand Jeans","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0189610768099877,118.506730062423
"84","3/26/2013","Photo Post","High End","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",27,0.0251709592394495,157.318495246559
"85","3/26/2013","Photo Post","High End","desktopfeed","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",27,0.0161538884877437,100.961803048398
"86","3/26/2013","Photo Post","eCom","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",27,0.0230981522904363,144.363451815227
"87","3/26/2013","Photo Post","Retailer","desktopfeed","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0241547984444193,150.96749027762
"88","3/26/2013","Photo Post","eCom","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0294453981087105,184.033738179441
"89","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0371727037417907,232.329398386192
"90","3/26/2013","Photo Post","Cosmetics","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0327316549726997,204.572843579373
"91","3/26/2013","Photo Post","Cosmetics","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0294942099093777,184.33881193361
"92","3/26/2013","Photo Post","Cosmetics","mobile","#Shopping","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0303220066910827,189.512541819267
"93","3/26/2013","Photo Post","Cosmetics","desktopfeed","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0287676001152909,179.797500720568
"94","3/26/2013","Photo Post","High End","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0259448466208914,162.155291380571
"95","3/26/2013","Photo Post","High End","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0209242068662108,130.776292913818
"96","3/26/2013","Photo Post","General","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,0.0188362872892779,117.726795557987
"97","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","Check out a sneak peak of what's new in our stores!",34.5,0.028571337727064,178.57086079415
"98","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,0.0217988913370368,136.24307085648
"99","3/26/2013","Photo Post","Retailer","desktopfeed","#Lululemon Athletica","Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,0.0154917635400274,96.8235221251712
"100","3/26/2013","Photo Post","Department","mobile","#Lululemon Athletica","Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,0.0195960155671446,122.475097294654
"101","3/26/2013","Photo Post","Department","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.02568681308597,160.542581787312
"102","3/26/2013","Photo Post","Department","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0291163174440618,181.976984025386
"103","3/26/2013","Photo Post","Retailer","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0324659744004017,202.912340002511
"104","3/26/2013","Photo Post","Department","mobile","#Abercrombie & Fitch","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0242864093263566,151.790058289729
"105","3/26/2013","Photo Post","Department","desktopfeed","#Abercrombie & Fitch","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0198405300685606,124.003312928504
"106","3/26/2013","Photo Post","Department","desktopfeed","#Abercrombie & Fitch","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0204087236241533,127.554522650958
"107","3/26/2013","Photo Post","Retailer","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.0323415487009879,202.134679381174
"108","3/26/2013","Photo Post","Retailer","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,0.0248943148276703,155.589467672939
"109","3/26/2013","Photo Post","General","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,0.0169408397757015,105.880248598134
"110","3/26/2013","Photo Post","Retailer","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,0.0201844609449391,126.152880905869
"111","3/26/2013","Photo Post","eCom","mobile","#American Eagle Outfitters","Check out a sneak peak of what's new in our stores!",27,0.0215455276379905,134.65954773744
"112","3/26/2013","Photo Post","High End","mobile","#Abercrombie & Fitch","Check out a sneak peak of what's new in our stores!",44.5,0.0277041237328324,173.150773330202
"113","3/26/2013","Photo Post","High End","mobile","#Abercrombie & Fitch","Check out a sneak peak of what's new in our stores!",44.5,0.0256940190740379,160.587619212737
"114","3/26/2013","Photo Post","Retailer","mobile","#Lululemon Athletica","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0257098507128893,160.686566955558
"115","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0255225835668831,159.51614729302
"116","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0255832701515266,159.895438447041
"117","3/26/2013","Photo Post","eCom","desktopfeed","#Lululemon Athletica","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0197538253951653,123.461408719783
"118","3/26/2013","Photo Post","Retailer","mobile","#Lululemon Athletica","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0234427595257996,146.517247036248
"119","3/26/2013","Photo Post","eCom","mobile","#Lululemon Athletica","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0263454006504829,164.658754065518
"120","3/26/2013","Photo Post","Cosmetics","desktopfeed","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0290390550627822,181.494094142389
"121","3/26/2013","Photo Post","Cosmetics","desktopfeed","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0259537295121739,162.210809451087
"122","3/26/2013","Photo Post","Cosmetics","mobile","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.035220729304891,220.129558155569
"123","3/26/2013","Photo Post","Cosmetics","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Check out a sneak peak of what's new in our stores!",27,0.0249081603061795,155.676001913622
"124","3/26/2013","Photo Post","Cosmetics","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Check out a sneak peak of what's new in our stores!",27,0.0255580200953617,159.73762559601
"125","3/26/2013","Photo Post","High End","desktopfeed","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0168427535736537,105.267209835336
"126","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.0247093950221174,154.433718888234
"127","3/26/2013","Photo Post","General","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,0.021486330827023,134.289567668894
"128","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0368762581052939,230.476613158087
"129","3/26/2013","Photo Post","High End","mobile","#Shopping","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0264920709481144,165.575443425715
"130","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0328116786116915,205.072991323072
"131","3/26/2013","Photo Post","Department","mobile","#Shopping","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0303083091852584,189.426932407865
"132","3/26/2013","Photo Post","Department","mobile","#Abercrombie & Fitch","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0291221096452849,182.013185283031
"133","3/26/2013","Photo Post","Department","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0237023034605791,148.139396628619
"134","3/26/2013","Photo Post","Retailer","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0237441318102735,148.400823814209
"135","3/26/2013","Photo Post","Department","mobile","#American Eagle Outfitters","Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,0.0256097211658949,160.060757286843
"136","3/26/2013","Photo Post","Department","mobile","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0285279537157134,178.299710723209
"137","3/26/2013","Photo Post","Department","mobile","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.033723425260338,210.771407877112
"138","3/26/2013","Photo Post","Retailer","mobile","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,0.0342327299034389,213.954561896493
"139","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.025976608786459,162.353804915369
"140","3/26/2013","Photo Post","General","mobile","#Shopping","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0273303835751778,170.814897344861
"141","3/26/2013","Photo Post","Retailer","mobile","#Shopping","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0272932746692616,170.582966682885
"142","3/26/2013","Photo Post","eCom","mobile","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.030596790568282,191.229941051763
"143","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.0331867128595918,207.416955372449
"144","3/26/2013","Photo Post","Retailer","desktopfeed","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0219858435938927,137.411522461829
"145","3/26/2013","Photo Post","High End","desktopfeed","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0186486652741554,116.554157963471
"146","3/26/2013","Photo Post","High End","desktopfeed","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,0.0199963715961996,124.977322476247
"147","3/26/2013","Photo Post","eCom","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",52,0.0351483048652179,219.676905407612
"148","3/26/2013","Photo Post","Retailer","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",52,0.0392266807452857,245.166754658035
"149","3/26/2013","Photo Post","eCom","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,0.0304800408598168,190.500255373855
"150","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,0.0368870202928584,230.543876830365
"151","3/26/2013","Photo Post","Cosmetics","mobile","#American Eagle Outfitters","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,0.0390098568157872,243.81160509867
"152","3/26/2013","Photo Post","Cosmetics","mobile","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0334475845560572,209.047403475358
"153","3/26/2013","Photo Post","Cosmetics","desktopfeed","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0266040462928902,166.275289330564
"154","3/26/2013","Photo Post","Cosmetics","mobile","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.033121752786565,207.010954916031
"155","3/26/2013","Photo Post","High End","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.022600698850467,141.254367815419
"156","3/26/2013","Photo Post","High End","mobile","#Abercrombie & Fitch","Click """"Like"""" to see what's new in our stores for Spring!!",27,0.0192636887574003,120.398054733752
"157","3/26/2013","Photo Post","General","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.0268411606600712,167.757254125445
"158","3/26/2013","Photo Post","Cosmetics","mobile","#Lululemon Athletica","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0357778801721575,223.611751075984
"159","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0250888699683588,156.805437302242
"160","3/26/2013","Photo Post","Retailer","mobile","#Lululemon Athletica","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.031449991279713,196.562445498206
"161","3/26/2013","Photo Post","Department","desktopfeed","#American Eagle Outfitters","Click """"Like"""" to see what's new in our stores for Spring!!",52,0.0321121209175921,200.70075573495
"162","3/26/2013","Photo Post","Department","desktopfeed","#American Eagle Outfitters","Click """"Like"""" to see what's new in our stores for Spring!!",52,0.0308469839128293,192.793649455183
